ID,a,b,c,First Derivative,Second Derivative
00263432,0.14583333333333334,-132.125,30110.312500000004,-3.5,0.2916666666666667
01021223,0.0049586776859504135,-5.742148760330579,1955.3520661157027,-0.5454545454545455,0.009917355371900827
01054317,0.000562957402889848,-0.5652092325014074,269.8675173578532,-0.0821917808219178,0.001125914805779696
01459348,0.05371900826446281,-51.78512396694215,12880.214876033058,2.3636363636363638,0.10743801652892562
02311183,0.20454545454545456,-204.13636363636365,51219.02272727273,9,0.4090909090909091
02463830,0.029442148760330578,-14.485537190082644,2050.721074380165,2.590909090909091,0.058884297520661155
02878370,0.0067465002529937595,-8.352167313206275,2881.9957834373417,-1.0389610389610389,0.013493000505987519
03162348,0.029585798816568046,-23.668639053254438,4960.7278106508875,2.3076923076923075,0.05917159763313609
03726552,0.0032045876201720357,-3.3391803002192613,1127.8564682071176,0.4935064935064935,0.0064091752403440715
03910060,-0.0017236426314277506,1.4823326630278655,-178.70152255099111,0.20338983050847456,-0.0034472852628555013
05754472,0.009495982468955442,-7.900657414170928,1967.336742147553,1.4054054054054055,0.018991964937910884
05766973,0.11805555555555555,-103.88888888888889,23285.555555555555,5.666666666666666,0.2361111111111111
06137633,0.019250780437044746,-15.785639958376692,3719.0561914672217,2.3870967741935485,0.03850156087408949
